category,stage,config,source_file,warmup_frames_dropped,sample_count,median_compute_ms,avg_compute_ms,p10_compute_ms,p90_compute_ms,min_compute_ms,max_compute_ms,correctness_ok,notes
main_timeline,Baseline,"Q1 batch on, Q2 scalar, C=24/B=72",reports/2026-05/metrics/rgp_occupancy_20260509/nodec_24_timestamps.csv,1,9,30.7499,30.3533,28.9424,31.2167,28.7118,31.5551,1,Short historical sweep. Drop first warm frame.
main_timeline,B/C ratio,C=40/B=56,reports/2026-05/metrics/rgp_occupancy_20260509/nodec_40_timestamps.csv,1,9,27.8938,27.9742,27.7476,28.2787,27.7171,28.3398,1,Short historical sweep. Drop first warm frame.
main_timeline,Q1 sharding,"Q1s16/Q2s1, C=38/B=58",reports/2026-05/metrics/q1_shards_nodec_20260510/q1s_16_nodec_38_refine_timestamps.csv,1,13,13.7416,13.7046,13.4754,13.8562,13.3961,14.2036,1,Drop first warm frame to match the existing summary run.
main_timeline,Q2 sharding,"Q1s16/Q2s16, C=16/B=80",reports/2026-05/metrics/q2_shards_20260510/q1s16_q2s16_nodec16_timestamps.csv,2,14,5.5708,5.5736,5.5462,5.6021,5.5377,5.6288,1,Two warm frames are dropped to match the existing Q2 sharding summary.
main_timeline,Q1 lane-pop,"Q1s16/Q2s16, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s16_q2s16_lanepop_c24_timestamps.csv,30,278,3.8509,3.8526,3.8147,3.8998,3.7292,3.9505,1,Longer timing run. Drop 30 warm frames.
main_timeline,High shard scaling,"Q1s256/Q2s256, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s256_q2s256_lanepop_c24_max256_timestamps.csv,30,323,0.9868,1.0050,0.9767,1.0068,0.9698,1.8601,1,Longer timing run. Drop 30 warm frames.
final_confirmation,Final repeat 1,Main integrated defaults,reports/2026-05/metrics/q2_shards_20260510/main_integrated_repeat_1.csv,30,1836,0.9904,0.9944,0.9804,1.0036,0.9659,2.0136,1,Main worktree confirmation repeat.
final_confirmation,Final repeat 2,Main integrated defaults,reports/2026-05/metrics/q2_shards_20260510/main_integrated_repeat_2.csv,30,1867,0.9916,0.9965,0.9819,1.0053,0.9657,1.9852,1,Main worktree confirmation repeat.
final_confirmation,Final repeat 3,Main integrated defaults,reports/2026-05/metrics/q2_shards_20260510/main_integrated_repeat_3.csv,30,1868,0.9907,0.9956,0.9810,1.0042,0.9593,1.9929,1,Main worktree confirmation repeat.
final_confirmation,Final repeat 4,Main integrated defaults,reports/2026-05/metrics/q2_shards_20260510/main_integrated_repeat_4.csv,30,1866,0.9903,0.9948,0.9807,1.0038,0.9615,1.9940,1,Main worktree confirmation repeat.
shard_scaling,Q1/Q2 shards 16,"Q1s16/Q2s16, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s16_q2s16_lanepop_c24_timestamps.csv,30,278,3.8509,3.8526,3.8147,3.8998,3.7292,3.9505,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 32,"Q1s32/Q2s32, C=28/B=68",reports/2026-05/metrics/q2_shards_20260510/q1s32_q2s32_lanepop_c28_timestamps.csv,30,182,2.4002,2.4010,2.3781,2.4205,2.3572,2.4518,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 64,"Q1s64/Q2s64, C=28/B=68",reports/2026-05/metrics/q2_shards_20260510/q1s64_q2s64_lanepop_c28_timestamps.csv,30,405,1.5427,1.5435,1.5296,1.5572,1.5158,1.6162,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 128,"Q1s128/Q2s128, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s128_q2s128_lanepop_c24_max128_timestamps.csv,30,194,1.1372,1.1491,1.1255,1.1545,1.1136,2.1616,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 192,"Q1s192/Q2s192, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s192_q2s192_lanepop_c24_max256_timestamps.csv,30,289,1.0808,1.0937,1.0713,1.0969,1.0547,2.0490,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 256,"Q1s256/Q2s256, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s256_q2s256_lanepop_c24_max256_timestamps.csv,30,323,0.9868,1.0050,0.9767,1.0068,0.9698,1.8601,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 384,"Q1s384/Q2s384, C=24/B=72",reports/2026-05/metrics/q2_shards_20260510/q1s384_q2s384_lanepop_c24_max512_timestamps.csv,30,551,1.0478,1.0511,1.0374,1.0688,1.0232,1.2232,1,Long shard scaling sweep. Drop 30 warm frames.
shard_scaling,Q1/Q2 shards 512,"Q1s512/Q2s512, C=28/B=68",reports/2026-05/metrics/q2_shards_20260510/q1s512_q2s512_lanepop_c28_max512_timestamps.csv,30,573,1.1178,1.1191,1.1046,1.1342,1.0873,1.2012,1,Long shard scaling sweep. Drop 30 warm frames.
request_batching,main_sharded/default_256_shards,q2_batch_l1,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,0,,,,,,,0,No valid timing samples for this run in the validation summary.
request_batching,main_sharded/default_256_shards,q2_batch_l16,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,11.4284,11.4283,11.3904,11.4658,11.3451,,1,Suite-local request batching comparison.
request_batching,main_sharded/default_256_shards,q2_batch_l2,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,0,,,,,,,0,No valid timing samples for this run in the validation summary.
request_batching,main_sharded/default_256_shards,q2_batch_l32,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,11.2778,11.2761,11.2458,11.3034,11.2060,,1,Suite-local request batching comparison.
request_batching,main_sharded/default_256_shards,q2_batch_l4,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,0,,,,,,,0,No valid timing samples for this run in the validation summary.
request_batching,main_sharded/default_256_shards,q2_batch_l8,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,11.7109,11.7432,11.6546,11.7553,11.5896,,1,Suite-local request batching comparison.
request_batching,main_sharded/default_256_shards,q2_batch_off,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,1.9432,1.9457,1.9236,1.9691,1.8996,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l1,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,7.3685,7.4101,7.2445,7.4978,7.0918,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l16,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,4.2623,4.4863,3.6387,5.3898,3.4861,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l2,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,5.1275,5.3216,5.0122,5.2766,4.7917,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l32,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,4.1165,4.3670,3.6045,5.2635,3.4836,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l4,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,4.2553,4.5435,4.1142,4.6734,3.9089,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_l8,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,4.1737,4.4434,3.7432,5.1022,3.5717,,1,Suite-local request batching comparison.
request_batching,main_sharded/stress_16_shards,q2_batch_off,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,4.2442,4.5327,3.9259,4.9059,3.8058,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l1,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,41.4104,41.4039,40.2583,42.5200,39.2246,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l16,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,34.0159,33.9861,32.9620,34.9301,31.8392,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l2,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,39.0516,38.9952,37.9848,40.0489,35.8412,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l32,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,33.7080,33.7078,32.7663,34.6361,31.4398,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l4,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,36.2794,36.2537,35.2110,37.2180,33.9188,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_batch_l8,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,34.7559,34.7333,33.7950,35.6508,32.1254,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,q1_on_q2_off,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,30.9477,30.8705,30.0201,31.6694,28.8268,,1,Suite-local request batching comparison.
request_batching,old_repro/old_unsharded,scalar_q1_off_q2_off,reports/2026-05/metrics/request_batching_validation_20260525/request_batching_validation_summary.csv,30,354,39.2272,39.3159,38.5773,40.0777,37.4138,,1,Suite-local request batching comparison.
