"phase","sensor","samples","min","avg","median","max"
"anchor_ramp_before_default","CLK_GFXCLK","30","86","2827.9","3162","3170"
"anchor_ramp_before_default","CLK_MEMCLK","30","47","181.9","192","193"
"anchor_ramp_before_default","ACTIVITY_GFX","30","4","88.57","100","100"
"anchor_ramp_before_default","ACTIVITY_MEM","30","0","0.97","1","2"
"anchor_ramp_before_default","BOARD_POWER","30","21","133.83","153","155"
"anchor_ramp_before_default","THROTTLER_STATUS","30","0","0","0","0"
"default_while_anchor_running","CLK_GFXCLK","84","2439","3144.15","3162","3167"
"default_while_anchor_running","CLK_MEMCLK","84","155","271.95","238.5","600"
"default_while_anchor_running","ACTIVITY_GFX","84","78","99.39","100","100"
"default_while_anchor_running","ACTIVITY_MEM","84","0","1.14","1","2"
"default_while_anchor_running","BOARD_POWER","84","99","155.2","156","161"
"default_while_anchor_running","THROTTLER_STATUS","84","0","0","0","0"
"idle_after_all","CLK_GFXCLK","10","24","414.7","118","3159"
"idle_after_all","CLK_MEMCLK","10","51","677.3","909","909"
"idle_after_all","ACTIVITY_GFX","10","0","15.5","6.5","100"
"idle_after_all","ACTIVITY_MEM","10","0","0.1","0","1"
"idle_after_all","BOARD_POWER","10","22","49.5","42","154"
"idle_after_all","THROTTLER_STATUS","10","0","0","0","0"
"idle_before_anchor","CLK_GFXCLK","10","75","91.9","88.5","107"
"idle_before_anchor","CLK_MEMCLK","10","45","50.7","51","56"
"idle_before_anchor","ACTIVITY_GFX","10","3","4.1","4","5"
"idle_before_anchor","ACTIVITY_MEM","10","0","0","0","0"
"idle_before_anchor","BOARD_POWER","10","21","21.1","21","22"
"idle_before_anchor","THROTTLER_STATUS","10","0","0","0","0"
