"timestamp","phase","elapsed_sec","anchor_pid","default_pid","query_result","adapterIndex","CLK_GFXCLK","CLK_MEMCLK","ACTIVITY_GFX","ACTIVITY_MEM","THROTTLER_STATUS","THROTTLE_POWER","THROTTLE_TDC","THROTTLE_VMAX","BOARD_POWER"
"2026-05-28T21:23:27.5031334+08:00","idle_before_anchor","0.001","0","0","0","5","90","50","4","0","0","0","0","0","21"
"2026-05-28T21:23:27.6216568+08:00","idle_before_anchor","0.13","0","0","0","5","87","49","4","0","0","0","0","0","21"
"2026-05-28T21:23:27.7314724+08:00","idle_before_anchor","0.241","0","0","0","5","84","52","4","0","0","0","0","0","21"
"2026-05-28T21:23:27.8414888+08:00","idle_before_anchor","0.351","0","0","0","5","93","42","4","0","0","0","0","0","21"
"2026-05-28T21:23:27.9524692+08:00","idle_before_anchor","0.461","0","0","0","5","115","49","5","0","0","0","0","0","22"
"2026-05-28T21:23:28.0594766+08:00","idle_before_anchor","0.569","0","0","0","5","92","45","4","0","0","0","0","0","21"
"2026-05-28T21:23:28.1685103+08:00","idle_before_anchor","0.677","0","0","0","5","79","57","4","0","0","0","0","0","21"
"2026-05-28T21:23:28.2773956+08:00","idle_before_anchor","0.786","0","0","0","5","95","47","4","0","0","0","0","0","21"
"2026-05-28T21:23:28.3890458+08:00","idle_before_anchor","0.897","0","0","0","5","115","49","4","0","0","0","0","0","21"
"2026-05-28T21:23:28.4984965+08:00","idle_before_anchor","1.007","0","0","0","5","95","55","5","0","0","0","0","0","21"
"2026-05-28T21:23:28.6189702+08:00","anchor_ramp_before_default","1.127","30524","0","0","5","91","53","4","0","0","0","0","0","21"
"2026-05-28T21:23:28.6832655+08:00","anchor_ramp_before_default","1.192","30524","0","0","5","168","93","10","1","0","0","0","0","23"
"2026-05-28T21:23:28.7452642+08:00","anchor_ramp_before_default","1.254","30524","0","0","5","1465","169","27","2","0","0","0","0","29"
"2026-05-28T21:23:28.8084961+08:00","anchor_ramp_before_default","1.318","30524","0","0","5","1755","162","60","1","0","0","0","9","47"
"2026-05-28T21:23:28.8713317+08:00","anchor_ramp_before_default","1.38","30524","0","0","5","3177","192","100","1","0","0","0","100","148"
"2026-05-28T21:23:28.9334571+08:00","anchor_ramp_before_default","1.443","30524","0","0","5","3170","191","100","1","0","0","0","100","151"
"2026-05-28T21:23:28.9964883+08:00","anchor_ramp_before_default","1.505","30524","0","0","5","3168","191","100","1","0","0","0","99","150"
"2026-05-28T21:23:29.0571872+08:00","anchor_ramp_before_default","1.566","30524","0","0","5","3166","192","100","1","0","0","0","97","150"
"2026-05-28T21:23:29.1185132+08:00","anchor_ramp_before_default","1.628","30524","0","0","5","2914","172","86","1","0","0","0","90","132"
"2026-05-28T21:23:29.1812275+08:00","anchor_ramp_before_default","1.69","30524","0","0","5","3091","186","96","1","0","0","0","97","145"
"2026-05-28T21:23:29.2437443+08:00","anchor_ramp_before_default","1.753","30524","0","0","5","3047","181","93","1","0","0","0","92","143"
"2026-05-28T21:23:29.3056983+08:00","anchor_ramp_before_default","1.815","30524","0","0","5","3165","192","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.3695079+08:00","anchor_ramp_before_default","1.879","30524","0","0","5","3165","193","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.4306666+08:00","anchor_ramp_before_default","1.94","30524","0","0","5","3165","192","100","1","0","0","0","100","152"
"2026-05-28T21:23:29.4934959+08:00","anchor_ramp_before_default","2.003","30524","0","0","5","3166","192","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.5545178+08:00","anchor_ramp_before_default","2.064","30524","0","0","5","3163","193","100","1","0","0","0","99","152"
"2026-05-28T21:23:29.6170181+08:00","anchor_ramp_before_default","2.126","30524","0","0","5","3165","192","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.6795329+08:00","anchor_ramp_before_default","2.189","30524","0","0","5","3167","192","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.7428348+08:00","anchor_ramp_before_default","2.252","30524","0","0","5","3167","192","100","1","0","0","0","100","152"
"2026-05-28T21:23:29.8035066+08:00","anchor_ramp_before_default","2.313","30524","0","0","5","3168","193","100","1","0","0","0","100","151"
"2026-05-28T21:23:29.8654995+08:00","anchor_ramp_before_default","2.375","30524","0","0","5","3167","192","100","1","0","0","0","100","152"
"2026-05-28T21:23:29.9285048+08:00","anchor_ramp_before_default","2.438","30524","0","0","5","3166","192","100","1","0","0","0","99","150"
"2026-05-28T21:23:29.9925325+08:00","anchor_ramp_before_default","2.502","30524","0","0","5","3167","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:30.0555101+08:00","anchor_ramp_before_default","2.565","30524","0","0","5","3167","192","100","1","0","0","0","100","152"
"2026-05-28T21:23:30.1185090+08:00","anchor_ramp_before_default","2.628","30524","0","0","5","3165","192","100","1","0","0","0","99","152"
"2026-05-28T21:23:30.1881357+08:00","default_while_anchor_running","2.698","30524","15344","0","5","3164","192","100","1","0","0","0","100","152"
"2026-05-28T21:23:30.2435483+08:00","default_while_anchor_running","2.753","30524","15344","0","5","3163","193","100","1","0","0","0","100","152"
"2026-05-28T21:23:30.3069882+08:00","default_while_anchor_running","2.816","30524","15344","0","5","3164","193","100","1","0","0","0","100","154"
"2026-05-28T21:23:30.3675585+08:00","default_while_anchor_running","2.877","30524","15344","0","5","3163","193","100","1","0","0","0","100","152"
"2026-05-28T21:23:30.4310383+08:00","default_while_anchor_running","2.94","30524","15344","0","5","3163","354","100","1","0","0","0","100","156"
"2026-05-28T21:23:30.4945315+08:00","default_while_anchor_running","3.004","30524","15344","0","5","3165","352","100","1","0","0","0","100","156"
"2026-05-28T21:23:30.5569845+08:00","default_while_anchor_running","3.066","30524","15344","0","5","3164","193","100","1","0","0","0","100","152"
"2026-05-28T21:23:30.6185110+08:00","default_while_anchor_running","3.128","30524","15344","0","5","3165","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:30.6811522+08:00","default_while_anchor_running","3.19","30524","15344","0","5","2146","563","73","1","0","0","0","32","80"
"2026-05-28T21:23:30.7445288+08:00","default_while_anchor_running","3.254","30524","15344","0","5","3182","193","100","1","0","0","0","92","150"
"2026-05-28T21:23:30.8080181+08:00","default_while_anchor_running","3.317","30524","15344","0","5","2549","362","79","1","0","0","0","41","104"
"2026-05-28T21:23:30.8706859+08:00","default_while_anchor_running","3.38","30524","15344","0","5","3072","327","94","2","0","0","0","95","146"
"2026-05-28T21:23:30.9335133+08:00","default_while_anchor_running","3.443","30524","15344","0","5","3164","510","100","2","0","0","0","100","160"
"2026-05-28T21:23:30.9975243+08:00","default_while_anchor_running","3.507","30524","15344","0","5","3164","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:31.0604880+08:00","default_while_anchor_running","3.57","30524","15344","0","5","3165","317","100","2","0","0","0","100","155"
"2026-05-28T21:23:31.1235358+08:00","default_while_anchor_running","3.633","30524","15344","0","5","3163","228","100","1","0","0","0","100","153"
"2026-05-28T21:23:31.1855423+08:00","default_while_anchor_running","3.695","30524","15344","0","5","3165","354","100","2","0","0","0","100","156"
"2026-05-28T21:23:31.2477330+08:00","default_while_anchor_running","3.757","30524","15344","0","5","3166","355","100","1","0","0","0","99","156"
"2026-05-28T21:23:31.3111817+08:00","default_while_anchor_running","3.82","30524","15344","0","5","3164","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:31.3735239+08:00","default_while_anchor_running","3.883","30524","15344","0","5","3166","193","100","1","0","0","0","100","152"
"2026-05-28T21:23:31.4375239+08:00","default_while_anchor_running","3.947","30524","15344","0","5","3165","348","100","1","0","0","0","100","157"
"2026-05-28T21:23:31.5000340+08:00","default_while_anchor_running","4.009","30524","15344","0","5","3162","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:31.5627529+08:00","default_while_anchor_running","4.072","30524","15344","0","5","3165","351","100","1","0","0","0","100","155"
"2026-05-28T21:23:31.6255275+08:00","default_while_anchor_running","4.135","30524","15344","0","5","3168","193","100","1","0","0","0","100","154"
"2026-05-28T21:23:31.6890356+08:00","default_while_anchor_running","4.198","30524","15344","0","5","3164","321","100","1","0","0","0","99","155"
"2026-05-28T21:23:31.7515315+08:00","default_while_anchor_running","4.261","30524","15344","0","5","3166","224","100","1","0","0","0","100","155"
"2026-05-28T21:23:31.8155341+08:00","default_while_anchor_running","4.325","30524","15344","0","5","3165","349","100","2","0","0","0","100","157"
"2026-05-28T21:23:31.8775385+08:00","default_while_anchor_running","4.387","30524","15344","0","5","3162","363","100","1","0","0","0","99","156"
"2026-05-28T21:23:31.9392865+08:00","default_while_anchor_running","4.448","30524","15344","0","5","3158","193","100","1","0","0","0","100","152"
"2026-05-28T21:23:32.0020374+08:00","default_while_anchor_running","4.511","30524","15344","0","5","3164","348","100","1","0","0","0","100","157"
"2026-05-28T21:23:32.0645334+08:00","default_while_anchor_running","4.574","30524","15344","0","5","3163","363","100","2","0","0","0","100","157"
"2026-05-28T21:23:32.1265369+08:00","default_while_anchor_running","4.636","30524","15344","0","5","3163","193","100","1","0","0","0","99","154"
"2026-05-28T21:23:32.1905408+08:00","default_while_anchor_running","4.7","30524","15344","0","5","3163","369","100","1","0","0","0","100","156"
"2026-05-28T21:23:32.2530100+08:00","default_while_anchor_running","4.762","30524","15344","0","5","3163","193","100","1","0","0","0","99","153"
"2026-05-28T21:23:32.3146692+08:00","default_while_anchor_running","4.824","30524","15344","0","5","3162","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:32.3775383+08:00","default_while_anchor_running","4.887","30524","15344","0","5","3160","193","100","1","0","0","0","100","153"
"2026-05-28T21:23:32.4385350+08:00","default_while_anchor_running","4.948","30524","15344","0","5","3162","193","100","1","0","0","0","100","154"
"2026-05-28T21:23:32.5015429+08:00","default_while_anchor_running","5.011","30524","15344","0","5","3162","352","100","1","0","0","0","100","156"
"2026-05-28T21:23:32.5629974+08:00","default_while_anchor_running","5.073","30524","15344","0","5","3162","373","100","2","0","0","0","100","158"
"2026-05-28T21:23:32.6259857+08:00","default_while_anchor_running","5.135","30524","15344","0","5","3165","193","100","1","0","0","0","100","154"
