"phase","sensor","samples","min","avg","median","max"
"anchor_ramp_before_default","CLK_GFXCLK","25","91","2781.4","3165","3177"
"anchor_ramp_before_default","CLK_MEMCLK","25","53","178.96","192","193"
"anchor_ramp_before_default","ACTIVITY_GFX","25","4","87.04","100","100"
"anchor_ramp_before_default","ACTIVITY_MEM","25","0","1","1","2"
"anchor_ramp_before_default","BOARD_POWER","25","21","130.4","151","153"
"anchor_ramp_before_default","THROTTLER_STATUS","25","0","0","0","0"
"default_while_anchor_running","CLK_GFXCLK","162","1277","2904.19","3163","3182"
"default_while_anchor_running","CLK_MEMCLK","162","192","371.8","329.5","909"
"default_while_anchor_running","ACTIVITY_GFX","162","38","92.59","100","100"
"default_while_anchor_running","ACTIVITY_MEM","162","1","1.14","1","2"
"default_while_anchor_running","BOARD_POWER","162","48","139.63","155","160"
"default_while_anchor_running","THROTTLER_STATUS","162","0","0","0","0"
"idle_after_all","CLK_GFXCLK","10","77","249.3","126.5","1380"
"idle_after_all","CLK_MEMCLK","10","52","762.1","909","909"
"idle_after_all","ACTIVITY_GFX","10","4","8.9","8","22"
"idle_after_all","ACTIVITY_MEM","10","0","0","0","0"
"idle_after_all","BOARD_POWER","10","22","38","41","43"
"idle_after_all","THROTTLER_STATUS","10","0","0","0","0"
"idle_before_anchor","CLK_GFXCLK","10","79","94.5","92.5","115"
"idle_before_anchor","CLK_MEMCLK","10","42","49.5","49","57"
"idle_before_anchor","ACTIVITY_GFX","10","4","4.2","4","5"
"idle_before_anchor","ACTIVITY_MEM","10","0","0","0","0"
"idle_before_anchor","BOARD_POWER","10","21","21.1","21","22"
"idle_before_anchor","THROTTLER_STATUS","10","0","0","0","0"
