"phase","sensor","samples","min","avg","median","max"
"between_gears_workgraph","CLK_GFXCLK","10","44","207.7","64","1479"
"between_gears_workgraph","CLK_MEMCLK","10","909","909","909","909"
"between_gears_workgraph","ACTIVITY_GFX","10","2","5.2","2.5","27"
"between_gears_workgraph","BOARD_POWER","10","40","41","41","45"
"between_gears_workgraph","THROTTLER_STATUS","10","0","0","0","0"
"during_gears_4k","CLK_GFXCLK","12","0","1287.58","1645.5","2066"
"during_gears_4k","CLK_MEMCLK","12","12","664.67","909","909"
"during_gears_4k","ACTIVITY_GFX","12","0","51.83","69","72"
"during_gears_4k","BOARD_POWER","12","4","46.83","59","64"
"during_gears_4k","THROTTLER_STATUS","12","0","0","0","0"
"during_workgraph_after_gears","CLK_GFXCLK","65","60","1427.4","1469","1535"
"during_workgraph_after_gears","CLK_MEMCLK","65","109","182.15","166","909"
"during_workgraph_after_gears","ACTIVITY_GFX","65","2","36.37","37","47"
"during_workgraph_after_gears","BOARD_POWER","65","25","32.74","33","40"
"during_workgraph_after_gears","THROTTLER_STATUS","65","0","0","0","0"
"idle_after_workgraph","CLK_GFXCLK","10","0","184.1","55.5","1435"
"idle_after_workgraph","CLK_MEMCLK","10","10","51.7","52","131"
"idle_after_workgraph","ACTIVITY_GFX","10","0","4.9","3","28"
"idle_after_workgraph","BOARD_POWER","10","8","18.9","21","28"
"idle_after_workgraph","THROTTLER_STATUS","10","0","0","0","0"
"idle_before_gears","CLK_GFXCLK","10","0","0","0","0"
"idle_before_gears","CLK_MEMCLK","10","6","8.9","9.5","13"
"idle_before_gears","ACTIVITY_GFX","10","0","0","0","0"
"idle_before_gears","BOARD_POWER","10","4","4","4","4"
"idle_before_gears","THROTTLER_STATUS","10","0","0","0","0"
