"timestamp","phase","elapsed_sec","query_result","adapterIndex","workgraph_pid","CLK_GFXCLK_supported","CLK_GFXCLK","CLK_MEMCLK_supported","CLK_MEMCLK","CLK_SOCCLK_supported","CLK_SOCCLK","TEMP_EDGE_supported","TEMP_EDGE","TEMP_MEM_supported","TEMP_MEM","ACTIVITY_GFX_supported","ACTIVITY_GFX","ACTIVITY_MEM_supported","ACTIVITY_MEM","GFX_VOLTAGE_supported","GFX_VOLTAGE","ASIC_POWER_supported","ASIC_POWER","TEMP_HOTSPOT_supported","TEMP_HOTSPOT","TEMP_GFX_supported","TEMP_GFX","TEMP_SOC_supported","TEMP_SOC","GFX_POWER_supported","GFX_POWER","GFX_CURRENT_supported","GFX_CURRENT","THROTTLER_STATUS_supported","THROTTLER_STATUS","BUS_SPEED_supported","BUS_SPEED","BUS_LANES_supported","BUS_LANES","THROTTLE_POWER_supported","THROTTLE_POWER","THROTTLE_TDC_supported","THROTTLE_TDC","THROTTLE_VMAX_supported","THROTTLE_VMAX","BUS_CURR_MAX_SPEED_supported","BUS_CURR_MAX_SPEED","BOARD_POWER_supported","BOARD_POWER"
"2026-05-28T21:10:26.0881145+08:00","idle_before","0.001","0","5","0","1","28","1","26","0","0","1","36","1","38","1","1","1","0","1","496","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","16"
"2026-05-28T21:10:26.2074353+08:00","idle_before","0.131","0","5","0","1","40","1","32","0","0","1","36","1","38","1","1","1","0","1","614","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","19"
"2026-05-28T21:10:26.3183800+08:00","idle_before","0.241","0","5","0","1","28","1","21","0","0","1","36","1","39","1","1","1","0","1","645","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","19"
"2026-05-28T21:10:26.4284499+08:00","idle_before","0.351","0","5","0","1","0","1","12","0","0","1","36","1","39","1","0","1","0","1","60","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","10"
"2026-05-28T21:10:26.5376835+08:00","idle_before","0.461","0","5","0","1","15","1","26","0","0","1","36","1","39","1","1","1","0","1","290","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","14"
"2026-05-28T21:10:26.6467474+08:00","idle_before","0.57","0","5","0","1","54","1","41","0","0","1","36","1","39","1","2","1","0","1","688","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","21"
"2026-05-28T21:10:26.7701844+08:00","idle_before","0.693","0","5","0","1","5","1","18","0","0","1","36","1","38","1","0","1","0","1","240","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","10"
"2026-05-28T21:10:26.8808449+08:00","idle_before","0.804","0","5","0","1","0","1","12","0","0","1","36","1","38","1","0","1","0","1","60","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","8"
"2026-05-28T21:10:26.9899055+08:00","idle_before","0.913","0","5","0","1","6","1","25","0","0","1","36","1","38","1","0","1","0","1","230","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","11"
"2026-05-28T21:10:27.0973844+08:00","idle_before","1.021","0","5","0","1","67","1","54","0","0","1","36","1","38","1","3","1","0","1","689","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","21"
"2026-05-28T21:10:27.2223859+08:00","idle_before","1.145","0","5","0","1","42","1","30","0","0","1","36","1","38","1","1","1","0","1","691","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","20"
"2026-05-28T21:10:27.3484000+08:00","idle_before","1.271","0","5","0","1","16","1","19","0","0","1","36","1","38","1","0","1","0","1","477","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","15"
