"run","phase","sensor","samples","min","avg","median","max"
"adl_pmlog_default_3000f_20260528","idle_before","CLK_GFXCLK","20","0","21.95","15.5","67"
"adl_pmlog_default_3000f_20260528","idle_before","CLK_MEMCLK","20","11","25.2","23","54"
"adl_pmlog_default_3000f_20260528","idle_before","CLK_SOCCLK","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","ACTIVITY_GFX","20","0","0.7","0.5","3"
"adl_pmlog_default_3000f_20260528","idle_before","ASIC_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","GFX_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","BOARD_POWER","20","5","14.35","14.5","21"
"adl_pmlog_default_3000f_20260528","idle_before","THROTTLER_STATUS","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","THROTTLE_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","THROTTLE_TDC","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_before","THROTTLE_VMAX","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","CLK_GFXCLK","160","0","1456.669","1472","1553"
"adl_pmlog_default_3000f_20260528","during_workgraph","CLK_MEMCLK","160","13","155.681","155","192"
"adl_pmlog_default_3000f_20260528","during_workgraph","CLK_SOCCLK","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","ACTIVITY_GFX","160","0","35.875","36.5","65"
"adl_pmlog_default_3000f_20260528","during_workgraph","ASIC_POWER","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","GFX_POWER","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","BOARD_POWER","160","9","32.231","32.5","38"
"adl_pmlog_default_3000f_20260528","during_workgraph","THROTTLER_STATUS","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","THROTTLE_POWER","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","THROTTLE_TDC","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","during_workgraph","THROTTLE_VMAX","160","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","CLK_GFXCLK","20","0","39.05","36.5","154"
"adl_pmlog_default_3000f_20260528","idle_after","CLK_MEMCLK","20","12","36.9","34.5","93"
"adl_pmlog_default_3000f_20260528","idle_after","CLK_SOCCLK","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","ACTIVITY_GFX","20","0","2.15","1.5","11"
"adl_pmlog_default_3000f_20260528","idle_after","ASIC_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","GFX_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","BOARD_POWER","20","4","15.2","17.5","23"
"adl_pmlog_default_3000f_20260528","idle_after","THROTTLER_STATUS","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","THROTTLE_POWER","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","THROTTLE_TDC","20","0","0","0","0"
"adl_pmlog_default_3000f_20260528","idle_after","THROTTLE_VMAX","20","0","0","0","0"
