"timestamp","phase","elapsed_sec","pid","query_result","adapterIndex","CLK_GFXCLK","CLK_MEMCLK","ACTIVITY_GFX","ACTIVITY_MEM","THROTTLER_STATUS","THROTTLE_POWER","THROTTLE_TDC","THROTTLE_VMAX","BOARD_POWER"
"2026-05-28T21:18:08.4840691+08:00","post_unsharded_idle_before_default","0.001","0","0","5","70","75","3","0","0","0","0","0","21"
"2026-05-28T21:18:08.5659463+08:00","post_unsharded_idle_before_default","0.093","0","0","5","63","56","2","0","0","0","0","0","20"
"2026-05-28T21:18:08.6449306+08:00","post_unsharded_idle_before_default","0.171","0","0","5","66","58","3","0","0","0","0","0","20"
"2026-05-28T21:18:08.7088411+08:00","post_unsharded_idle_before_default","0.235","0","0","5","45","51","2","0","0","0","0","0","20"
"2026-05-28T21:18:08.7721763+08:00","post_unsharded_idle_before_default","0.299","0","0","5","52","66","2","0","0","0","0","0","20"
"2026-05-28T21:18:08.8338508+08:00","post_unsharded_idle_before_default","0.361","0","0","5","55","44","2","0","0","0","0","0","20"
"2026-05-28T21:18:08.8969329+08:00","post_unsharded_idle_before_default","0.423","0","0","5","62","50","2","0","0","0","0","0","20"
"2026-05-28T21:18:08.9598374+08:00","post_unsharded_idle_before_default","0.487","0","0","5","53","58","2","0","0","0","0","0","20"
"2026-05-28T21:18:09.0219312+08:00","post_unsharded_idle_before_default","0.549","0","0","5","62","53","2","0","0","0","0","0","20"
"2026-05-28T21:18:09.0838603+08:00","post_unsharded_idle_before_default","0.611","0","0","5","56","46","2","0","0","0","0","0","20"
"2026-05-28T21:18:09.1571093+08:00","during_default_after_unsharded","0.684","15636","0","5","58","56","2","0","0","0","0","0","20"
"2026-05-28T21:18:09.2247071+08:00","during_default_after_unsharded","0.751","15636","0","5","154","80","8","0","0","0","0","0","22"
"2026-05-28T21:18:09.2852386+08:00","during_default_after_unsharded","0.813","15636","0","5","230","111","15","1","0","0","0","0","24"
"2026-05-28T21:18:09.3482398+08:00","during_default_after_unsharded","0.876","15636","0","5","1557","181","53","3","0","0","0","0","34"
