"phase","sensor","samples","min","avg","median","max"
"during_default_after_unsharded","CLK_GFXCLK","57","58","1434.63","1497","1563"
"during_default_after_unsharded","CLK_MEMCLK","57","56","177.3","181","191"
"during_default_after_unsharded","ACTIVITY_GFX","57","2","47","46","69"
"during_default_after_unsharded","ACTIVITY_MEM","57","0","4.09","4","6"
"during_default_after_unsharded","BOARD_POWER","57","20","34.82","35","42"
"during_default_after_unsharded","THROTTLER_STATUS","57","0","0","0","0"
"idle_after_default","CLK_GFXCLK","10","45","206.2","85","1344"
"idle_after_default","CLK_MEMCLK","10","47","63.4","60.5","113"
"idle_after_default","ACTIVITY_GFX","10","2","6.1","5","20"
"idle_after_default","ACTIVITY_MEM","10","0","0","0","0"
"idle_after_default","BOARD_POWER","10","20","20.8","20.5","24"
"idle_after_default","THROTTLER_STATUS","10","0","0","0","0"
"post_unsharded_idle_before_default","CLK_GFXCLK","10","45","58.4","59","70"
"post_unsharded_idle_before_default","CLK_MEMCLK","10","44","55.7","54.5","75"
"post_unsharded_idle_before_default","ACTIVITY_GFX","10","2","2.2","2","3"
"post_unsharded_idle_before_default","ACTIVITY_MEM","10","0","0","0","0"
"post_unsharded_idle_before_default","BOARD_POWER","10","20","20.1","20","21"
"post_unsharded_idle_before_default","THROTTLER_STATUS","10","0","0","0","0"
