"phase","sensor","samples","min","avg","median","max"
"during_unsharded_scalar","CLK_GFXCLK","85","0","3059.07","3166","3172"
"during_unsharded_scalar","CLK_MEMCLK","85","7","186.07","191","193"
"during_unsharded_scalar","ACTIVITY_GFX","85","0","96.34","100","100"
"during_unsharded_scalar","ACTIVITY_MEM","85","0","0.89","1","1"
"during_unsharded_scalar","BOARD_POWER","85","4","144.49","150","152"
"during_unsharded_scalar","THROTTLER_STATUS","85","0","0","0","0"
"idle_after","CLK_GFXCLK","20","0","125.5","0","2116"
"idle_after","CLK_MEMCLK","20","6","28.75","9.5","116"
"idle_after","ACTIVITY_GFX","20","0","3","0","40"
"idle_after","ACTIVITY_MEM","20","0","0","0","0"
"idle_after","BOARD_POWER","20","10","16.35","10","65"
"idle_after","THROTTLER_STATUS","20","0","0","0","0"
"idle_before","CLK_GFXCLK","20","0","1.9","0","30"
"idle_before","CLK_MEMCLK","20","6","10.8","10.5","29"
"idle_before","ACTIVITY_GFX","20","0","0.1","0","2"
"idle_before","ACTIVITY_MEM","20","0","0","0","0"
"idle_before","BOARD_POWER","20","4","4.95","4","10"
"idle_before","THROTTLER_STATUS","20","0","0","0","0"
