"q1_shards","c_workgroups","b_workgroups","rows","avg_ms","median_ms","min_ms","max_ms"
"4","24","72","10","28.0393","27.8936","27.0173","29.0492"
"4","32","64","10","22.9269","22.9699","22.4912","23.5328"
"4","40","56","10","23.2366","23.3164","22.8917","23.6169"
"4","48","48","10","24.2477","24.2244","23.8222","24.663"
"4","56","40","10","21.0875","21.1096","20.9263","21.2315"
"8","24","72","10","25.1707","25.2055","24.392","25.7329"
"8","32","64","10","18.6622","18.7831","18.251","19.0108"
"8","40","56","10","17.9043","17.9518","17.5744","18.341"
"8","48","48","10","19.5275","19.4804","19.3508","19.8599"
"8","56","40","10","21.1196","21.057","20.5904","21.6924"
"16","24","72","10","22.9609","22.9178","22.6287","23.3384"
"16","32","64","10","15.7458","15.6054","15.3424","16.3526"
"16","40","56","10","14.0549","13.9853","13.7337","14.4954"
"16","48","48","10","15.4609","15.4594","15.2015","15.6452"
"16","56","40","10","16.7886","16.6602","16.5267","17.3597"
