"c_workgroups","b_workgroups","avg_ms","median_ms","min_ms","max_ms","file"
"4","92","6.3515","6.3481","6.2779","6.4403","q1s16_q2s16_nodec4_lowc_timestamps.csv"
"8","88","5.8083","5.823","5.7478","5.867","q1s16_q2s16_nodec8_lowc_timestamps.csv"
"12","84","5.6195","5.6248","5.5767","5.6637","q1s16_q2s16_nodec12_lowc_timestamps.csv"
"16","80","5.5736","5.5719","5.5377","5.6288","q1s16_q2s16_nodec16_timestamps.csv"
"20","76","5.5945","5.5872","5.5766","5.6418","q1s16_q2s16_nodec20_lowc_timestamps.csv"
"24","72","5.6612","5.6539","5.6168","5.7154","q1s16_q2s16_nodec24_timestamps.csv"
"32","64","5.8931","5.895","5.8233","5.9436","q1s16_q2s16_nodec32_timestamps.csv"
"38","58","6.094","6.0993","6.0475","6.1406","q1s16_q2s16_nodec38_timestamps.csv"
"40","56","6.1705","6.1701","6.1152","6.2512","q1s16_q2s16_nodec40_timestamps.csv"
"48","48","6.7081","6.6984","6.6561","6.7776","q1s16_q2s16_nodec48_timestamps.csv"
"56","40","7.3633","7.3618","7.2847","7.4815","q1s16_q2s16_nodec56_timestamps.csv"
"64","32","8.4154","8.4056","8.3507","8.4798","q1s16_q2s16_nodec64_timestamps.csv"
